Test Case ID,Prompt Version,Expected Category,Actual Category,Category Result,Expected Priority,Actual Priority,Priority Result,Expected SLA Risk,Actual SLA Risk,SLA Risk Result,Expected Team,Actual Team,Team Result,Expected Human Review,Actual Human Review,Human Review Result,JSON Valid,Confidence,Final Result,Notes
TC-01,v1,Technical Service,Technical Service,Pass,Critical,Critical,Pass,High,High,Pass,Technical Service Team,Technical Support / Field Service,Partial Pass,TRUE,TRUE,Pass,Yes,0.98,Pass,"Correct classification, urgency, priority, SLA risk and human review. Team wording differs slightly but meaning is correct. Prompt v1 does not include workflow_route, so v2 is needed for SAP Build routing."
TC-02,v1,Billing Issue,Billing Issue,Pass,Medium,Medium,Pass,Medium,Medium,Pass,Finance Team,Billing Support,Partial Pass,TRUE,FALSE,Fail,Yes,0.95,Partial Pass,"Correct category, priority and SLA risk. Team wording differs but maps to finance/billing support. Human review was expected for invoice correction/financial review, but Prompt v1 returned false. This shows Prompt v1 needs clearer finance approval and human-review rules."
TC-03,v1,Delivery Issue,Delivery Issue,Pass,Medium,Medium,Pass,Medium,Medium,Pass,Logistics Team,Logistics / Delivery Support,Pass,FALSE,FALSE,Pass,Yes,0.95,Pass,"Correct category, priority, SLA risk and human-review decision. Team wording differs slightly but maps correctly to logistics/delivery support. Prompt v1 still lacks workflow_route, so v2 is needed for SAP Build routing."
TC-01,v2,Technical Service,Technical Service,Pass,Critical,Critical,Pass,High,High,Pass,Technical Service Team,Technical Service Team,Pass,TRUE,TRUE,Pass,Yes,0.99,Pass,"Correct category, priority, SLA risk, team, workflow route and human-review decision. Prompt v2 improves v1 by adding workflow_route, making the output usable for SAP Build routing."
TC-02,v2,Billing Issue,Billing Issue,Pass,Medium,Medium,Pass,Medium,Medium,Pass,Finance Team,Finance Team,Pass,TRUE,FALSE,Fail,Yes,0.96,Partial Pass,"Correct category, priority, SLA risk, team and workflow route. However, human review was expected because FINANCE_APPROVAL should require finance review/approval. Prompt v2 should be improved so FINANCE_APPROVAL always sets requires_human_review to true."
TC-03,v2,Delivery Issue,Delivery Issue,Pass,Medium,Medium,Pass,Medium,Medium,Pass,Logistics Team,Logistics Team,Pass,FALSE,FALSE,Pass,Yes,0.95,Pass,"Correct category, priority, SLA risk, team, workflow route and human-review decision. The model correctly avoided over-escalating a standard one-day delivery delay."
TC-04,v2,Product Quality,Product Quality,Pass,Critical,Critical,Pass,High,High,Pass,Quality Team,Quality Team,Pass,TRUE,TRUE,Pass,Yes,0.97,Pass,"Correctly classified the overheating complaint as Product Quality and escalated it as Critical due to safety risk. Workflow route and human-review decision are correct."
TC-05,v2,General Service Complaint,General Service Complaint,Pass,Critical,Critical,Pass,High,High,Pass,Service Manager / Legal or Compliance Team,Legal or Compliance Team,Pass,TRUE,TRUE,Pass,Yes,0.82,Pass,"Correctly identified legal-risk language and repeated unresolved complaint. Priority, SLA risk, workflow route and human-review decision are correct. Confidence is lower than earlier cases because the complaint does not specify the underlying issue, but the decision is still acceptable."
TC-06,v2,General Service Complaint,General Service Complaint,Pass,Medium,High,Fail,Medium,High,Fail,Service Team,Service Manager,Partial Pass,FALSE,TRUE,Fail,Yes,0.94,Partial Pass,"Correct category, but the case was over-escalated. A delayed support response with dissatisfaction should usually remain Medium unless legal risk, repeated unresolved issue, major customer impact, refund/compensation, safety risk, or production stoppage is mentioned. Prompt v2 should be improved to avoid classifying delay-only service complaints as High."
TC-07,v2,Product Quality,Product Quality,Pass,High,High,Pass,High,High,Pass,Quality Team,Quality Team,Pass,TRUE,TRUE,Pass,Yes,0.94,Pass,"Complaint text: The delivered product is damaged and cannot be used. We need a replacement urgently. Correct category, priority, SLA risk, team, workflow route and human-review decision. The model correctly treated an unusable damaged product with urgent replacement need as High priority."
TC-08,v2,Refund or Return,Refund or Return,Pass,Medium,Medium,Pass,Medium,Medium,Pass,Finance Team,Finance Team,Pass,TRUE,TRUE,Pass,Yes,0.96,Pass,"Complaint text: I want to return the product and request a refund because it does not meet the agreed requirements. Correct category, priority, SLA risk, team, workflow route and human-review decision. The model correctly routed refund handling to FINANCE_APPROVAL and required human review."
TC-09,v2,Delivery Issue,Delivery Issue,Pass,High,High,Pass,High,High,Pass,Logistics Team,Logistics Team,Pass,TRUE,TRUE,Pass,Yes,0.95,Pass,"Complaint text: The wrong item was delivered to our warehouse, and our order fulfilment is now delayed. Correct category, priority, SLA risk, team, workflow route and human-review decision. The model correctly treated warehouse/order fulfilment delay as a higher-impact logistics issue."
TC-10,v2,General Service Complaint,General Service Complaint,Pass,Low,Low,Pass,Low,Low,Pass,Service Team,Service Team,Pass,FALSE,FALSE,Pass,Yes,0.95,Pass,"Complaint text: I have a question about how to update my service address for future deliveries. Correctly treated as a low-priority informational service request. Workflow route and human-review decision are correct."
TC-02,v2.1,Billing Issue,Billing Issue,Pass,Medium,Medium,Pass,Medium,Medium,Pass,Finance Team,Finance Team,Pass,TRUE,TRUE,Pass,Yes,0.98,Pass,"Complaint text: I received an invoice with a duplicate charge. The amount is incorrect and I need a corrected invoice. Prompt v2.1 fixed the v2 issue by setting requires_human_review to true for FINANCE_APPROVAL/billing correction cases. Category, priority, SLA risk, team and workflow route are correct."
TC-06,v2.1,General Service Complaint,General Service Complaint,Pass,Medium,Medium,Pass,Medium,Medium,Pass,Service Team,Service Team,Pass,FALSE,FALSE,Pass,Yes,0.95,Pass,"Complaint text: Your support team has not responded to my previous email for five days. This is very disappointing. Prompt v2.1 fixed the v2 over-escalation issue. The case is correctly treated as a Medium service-delay complaint with responsible team review and no mandatory human review."
